coin,snapshot height,balance
BTC(ALL),-,20914.70
BTC,951871,8683.53
BTC-TRC20,83191458,10422.90
jWBTC-TRC20,83191458,89.00
ThirdParty,_,1719.27
DOGE(All),-,454163535.64
DOGE,6229557,454163535.64
ETH(All),-,109573.31
ETH,25216406,4006.56
jsTRX,TCiRCBNFrL6bFKWL94yWQi5hNMGNp1Nu27,83191458,922473805.94,huobi,51fbb14497b6f5265b44931dac48e23822b645598d7a9c5fee183c9a517db9491594b82a03e1dfea9072e3e95a29d5716610f5aefdbd934fab8b67d73f148d6900
ETH,0x4fb312915b779b1339388e14b6d079741ca83128,25216406,3941.10,-,-
ETH,0xef72CC0Bb3EE2236b3B875C66a8A5D06b53Adb99,-,-,htx,0xc91377206d5903eff7c725d0ab54ed1a652110581e449c5ccc7f4f5bb991af80228ae4a95f448bb18a6ac78e850334daa495930b85375f3d6ab606ac0146d8b61b
ETH,0x406ea8F3C6464171f3dEccF6Ba99748D9487CD52,-,-,htx,0x3ba1542404430b5818a403ab451e4ee2299a0b9e8c2d71f178edf0e2c4df222a77ac3dd16011369cc395063da048e975620ddc6e511f762ad639640ca8d4fac31c
ETH,0x3f95d25BfB08e6cF5bA3e159e477D28852BA3F04,-,-,htx,0xc766bb36b671096e668bd902515eecef9939bcd99226bb668768f7d3a2cc5387339c98d0d8f21a3f3ec27024ccfeb5034d617a4d6021cab5538f061f198808d31b
ETH,0x9EC19cE75a7557d52c32774779158F5A466e0080,-,-,htx,0x0d929c70239b715b65f891088a5143e21449c36cab4243f71e5ce84317454c6605013fad579dc198c43798e2a9e7d575a9c39fc67689a2b4e38635e2e934ef661c
ETH,0xa03400e098f4421b34a3a44a1b4e571419517687,25216406,6.60,King will be back!,0xc24e6ba40bb68f98b4bfcf653e3557f7accde2c539937f2f865eda96c9d48688481d49e38bc31d0450d164eac66cb3c5e0bfd9e472684bfb3d9bc3ea3a3bc82a01
ETH,0x2a4bf9bbca7a91661087f52571eea36a004b83eb,25216406,48.89,huobi,0x9e2b154db03c9cf389c2ff9f3921299f2ec7fb4893b91893855a7e2627783a7159f2e798c0450013d11961db1f100fc8a59dbd49384a1cbae160820f6165457c1c
ETH,0x598273ea2cabd9f798564877851788c5e0d5b7b9,25216406,5.00,-,-
ETH,0x3fd039007988ee27acafbf0d3a23734ba7673048,25216406,4.97,-,-
